plot_id,zone_code,ward_code,current_use,plot_area_sqm,max_far,max_height_m,zoning_block_id,owner_name,household_size,income_band,occupancy_type,tenure_years,zoning_block_final,status_vs_0,status
PLT00011,RZ_PARK,WARD_30,RESIDENTIAL,354.6,0.5,9,0,Divya Reddy,7,MID,RENTED,24,11,Same zoning block,GREEN_BUFFER
PLT00012,RZ_RES_HIGH,WARD_38,APARTMENT_BLOCK,213.9,2.5,17.0,0,Priya Sharma,2,LOW,GOVT_QUARTERS,10,11,Same zoning block,STABLE_CLUSTER
PLT00013,RZ_PARK,WARD_11,PARK_OPEN_SPACE,535.5,0.5,9,0,Ananya Naidu,5,UPPER_MID,RENTED,20,13,Same zoning block,GREEN_BUFFER
PLT00014,RZ_PARK,WARD_17,PARK_OPEN_SPACE,1039.9,0.5,9,0,Raghav Rao,7,LOW,RENTED,34,13,Same zoning block,GREEN_BUFFER
PLT00015,RZ_PARK,WARD_49,APARTMENT_BLOCK,933.9,0.5,9,0,Meera Iyer,2,MID,OWNED,11,14,Same zoning block,GREEN_BUFFER
PLT00016,RZ_RES_HIGH,WARD_01,PARK_OPEN_SPACE,404.1,1.76,23.0,0,Ashwin Shetty,6,LOW,RENTED,15,15,Same zoning block,STABLE_CLUSTER
PLT00017,RZ_PARK,WARD_33,PARK_OPEN_SPACE,278.7,0.5,9,0,Meera Iyer,8,HIGH,RENTED,30,16,Same zoning block,GREEN_BUFFER
PLT00018,RZ_PARK,WARD_01,PARK_OPEN_SPACE,422.8,0.5,9,0,Raghav Rao,2,MID,OWNED,13,17,Same zoning block,GREEN_BUFFER
PLT00019,RZ_RES_LOW,WARD_16,PARK_OPEN_SPACE,430.4,1.59,22.0,0,Ananya Naidu,8,HIGH,GOVT_QUARTERS,27,18,Same zoning block,STABLE_CLUSTER
PLT00020,RZ_RES_HIGH,WARD_36,RESIDENTIAL,178.1,2.37,21.0,0,Divya Reddy,6,HIGH,RENTED,15,19,Same zoning block,STABLE_CLUSTER
PLT00021,RZ_RES_HIGH,WARD_43,PARK_OPEN_SPACE,218.2,2.4,22.0,0,Divya Reddy,3,LOW,OWNED,6,21,Same zoning block,STABLE_CLUSTER
PLT00022,RZ_PARK,WARD_36,RESIDENTIAL,726.7,0.5,9,0,Raghav Rao,2,LOW,GOVT_QUARTERS,8,21,Same zoning block,GREEN_BUFFER
PLT00023,RZ_RES_LOW,WARD_22,RESIDENTIAL,270.2,1.78,22.0,0,Kiran Shetty,3,UPPER_MID,GOVT_QUARTERS,31,22,Same zoning block,STABLE_CLUSTER
PLT00024,RZ_RES_HIGH,WARD_27,RESIDENTIAL,114.9,2.16,20.0,0,Raghav Shetty,5,LOW,RENTED,26,23,Same zoning block,STABLE_CLUSTER
PLT00025,RZ_PARK,WARD_07,RESIDENTIAL,513.0,0.5,9,0,Meera Iyer,8,LOW,GOVT_QUARTERS,12,24,Same zoning block,GREEN_BUFFER
PLT00026,RZ_RES_LOW,WARD_35,APARTMENT_BLOCK,131.9,1.68,22.0,0,Ananya Naidu,5,LOW,GOVT_QUARTERS,26,25,Same zoning block,STABLE_CLUSTER
PLT00027,RZ_PARK,WARD_01,RESIDENTIAL,1115.3,0.5,9,0,Divya Reddy,3,UPPER_MID,OWNED,21,26,Same zoning block,GREEN_BUFFER
PLT00028,RZ_RES_LOW,WARD_26,RESIDENTIAL,140.9,1.5,21.0,0,Priya Sharma,4,UPPER_MID,RENTED,29,27,Same zoning block,STABLE_CLUSTER
PLT00029,RZ_PARK,WARD_43,PARK_OPEN_SPACE,609.7,0.5,9,0,Divya Reddy,4,HIGH,GOVT_QUARTERS,24,28,Same zoning block,GREEN_BUFFER
PLT00030,RZ_PARK,WARD_35,RESIDENTIAL,910.2,0.5,9,0,Raghav Rao,2,UPPER_MID,RENTED,35,29,Same zoning block,GREEN_BUFFER
PLT00031,RZ_PARK,WARD_11,RESIDENTIAL,1154.9,0.5,9,0,Ananya Naidu,8,HIGH,GOVT_QUARTERS,25,31,Same zoning block,GREEN_BUFFER
PLT00032,RZ_RES_LOW,WARD_44,RESIDENTIAL,229.4,2.44,24.0,0,Divya Iyer,6,LOW,RENTED,8,31,Same zoning block,STABLE_CLUSTER
PLT00033,RZ_RES_HIGH,WARD_43,PARK_OPEN_SPACE,289.1,1.82,19.0,0,Vikram Sharma,7,MID,GOVT_QUARTERS,14,32,Same zoning block,STABLE_CLUSTER
PLT00034,RZ_RES_HIGH,WARD_09,PARK_OPEN_SPACE,318.8,1.96,29.0,0,Ananya Naidu,2,UPPER_MID,RENTED,24,33,Same zoning block,STABLE_CLUSTER
PLT00035,RZ_RES_LOW,WARD_05,PARK_OPEN_SPACE,158.9,1.77,29.0,0,Ananya Naidu,3,MID,OWNED,11,34,Same zoning block,STABLE_CLUSTER
PLT00036,RZ_RES_HIGH,WARD_35,PARK_OPEN_SPACE,191.9,2.48,27.0,0,Kiran Shetty,2,MID,RENTED,9,35,Same zoning block,STABLE_CLUSTER
PLT00037,RZ_RES_LOW,WARD_17,RESIDENTIAL,409.2,2.24,17.0,0,Vikram Reddy,6,HIGH,RENTED,16,36,Same zoning block,STABLE_CLUSTER
PLT00038,RZ_RES_LOW,WARD_44,PARK_OPEN_SPACE,395.6,2.01,19.0,0,Raghav Rao,2,UPPER_MID,OWNED,7,37,Same zoning block,STABLE_CLUSTER
PLT00039,RZ_RES_LOW,WARD_22,RESIDENTIAL,315.7,1.76,26.0,0,Kiran Shetty,7,UPPER_MID,RENTED,6,38,Same zoning block,STABLE_CLUSTER
PLT00040,RZ_RES_LOW,WARD_05,PARK_OPEN_SPACE,414.5,2.05,28.0,0,Divya Iyer,6,HIGH,OWNED,10,39,Same zoning block,STABLE_CLUSTER
PLT00041,RZ_RES_LOW,WARD_20,APARTMENT_BLOCK,412.6,2.3,28.0,0,Meera Iyer,3,HIGH,RENTED,9,40,Same zoning block,STABLE_CLUSTER
PLT00042,RZ_RES_HIGH,WARD_50,PARK_OPEN_SPACE,407.1,1.91,24.0,0,Ashwin Shetty,3,HIGH,GOVT_QUARTERS,34,41,Same zoning block,STABLE_CLUSTER
PLT00043,RZ_RES_HIGH,WARD_02,RESIDENTIAL,352.5,1.83,29.0,0,Vikram Sharma,8,HIGH,OWNED,11,42,Same zoning block,STABLE_CLUSTER
PLT00044,RZ_PARK,WARD_07,APARTMENT_BLOCK,1053.0,0.5,9,0,Priya Sharma,3,HIGH,OWNED,17,43,Same zoning block,GREEN_BUFFER
PLT00045,RZ_RES_HIGH,WARD_15,RESIDENTIAL,88.8,1.69,20.0,0,Ananya Naidu,8,MID,OWNED,26,44,Same zoning block,STABLE_CLUSTER
PLT00046,RZ_PARK,WARD_26,PARK_OPEN_SPACE,1178.3,0.5,9,0,Kiran Shetty,4,LOW,GOVT_QUARTERS,34,45,Same zoning block,GREEN_BUFFER
PLT00047,RZ_RES_HIGH,WARD_12,PARK_OPEN_SPACE,436.1,1.77,17.0,0,Raghav Shetty,4,MID,OWNED,25,46,Same zoning block,STABLE_CLUSTER
PLT00048,RZ_PARK,WARD_08,APARTMENT_BLOCK,1084.4,0.5,9,0,Divya Reddy,4,LOW,RENTED,19,47,Same zoning block,GREEN_BUFFER
PLT00049,RZ_RES_LOW,WARD_34,PARK_OPEN_SPACE,334.1,2.44,26.0,0,Divya Reddy,4,UPPER_MID,GOVT_QUARTERS,27,48,Same zoning block,STABLE_CLUSTER
PLT00050,RZ_RES_HIGH,WARD_40,APARTMENT_BLOCK,325.5,1.62,29.0,0,Kiran Shetty,4,UPPER_MID,OWNED,18,49,Same zoning block,STABLE_CLUSTER
PLT00051,RZ_PARK,WARD_19,PARK_OPEN_SPACE,196.4,0.5,9,0,Raghav Shetty,7,UPPER_MID,RENTED,29,50,Same zoning block,GREEN_BUFFER
PLT00052,RZ_RES_LOW,WARD_40,PARK_OPEN_SPACE,191.4,2.05,15.0,0,Vikram Reddy,3,UPPER_MID,RENTED,25,51,Same zoning block,STABLE_CLUSTER
PLT00053,RZ_PARK,WARD_21,APARTMENT_BLOCK,558.1,0.5,9,0,Vikram Sharma,3,UPPER_MID,RENTED,11,52,Same zoning block,GREEN_BUFFER
PLT00054,RZ_PARK,WARD_06,APARTMENT_BLOCK,642.8,0.5,9,0,Vikram Sharma,6,MID,GOVT_QUARTERS,32,53,Same zoning block,GREEN_BUFFER
PLT00055,RZ_RES_LOW,WARD_44,APARTMENT_BLOCK,163.1,1.7,15.0,0,Divya Reddy,5,LOW,OWNED,19,54,Same zoning block,STABLE_CLUSTER
PLT00056,RZ_PARK,WARD_37,RESIDENTIAL,876.1,0.5,9,0,Raghav Shetty,5,UPPER_MID,GOVT_QUARTERS,10,55,Same zoning block,GREEN_BUFFER
PLT00057,RZ_PARK,WARD_45,RESIDENTIAL,1076.6,0.5,9,0,Ananya Naidu,8,UPPER_MID,GOVT_QUARTERS,11,56,Same zoning block,GREEN_BUFFER
PLT00058,RZ_PARK,WARD_34,APARTMENT_BLOCK,107.8,0.5,9,0,Divya Reddy,8,LOW,OWNED,10,57,Same zoning block,GREEN_BUFFER
PLT00059,RZ_RES_HIGH,WARD_43,PARK_OPEN_SPACE,445.5,2.1,29.0,0,Priya Sharma,6,UPPER_MID,RENTED,20,58,Same zoning block,STABLE_CLUSTER
PLT00060,RZ_RES_LOW,WARD_48,APARTMENT_BLOCK,246.5,2.25,28.0,0,Vikram Reddy,8,UPPER_MID,RENTED,13,59,Same zoning block,STABLE_CLUSTER
PLT00061,RZ_RES_HIGH,WARD_29,RESIDENTIAL,344.0,1.73,20.0,0,Kiran Shetty,2,HIGH,GOVT_QUARTERS,13,60,Same zoning block,STABLE_CLUSTER
PLT00062,RZ_RES_HIGH,WARD_45,RESIDENTIAL,341.4,1.56,21.0,0,Kiran Shetty,5,UPPER_MID,GOVT_QUARTERS,12,61,Same zoning block,STABLE_CLUSTER
PLT00063,RZ_RES_HIGH,WARD_25,PARK_OPEN_SPACE,430.0,1.52,28.0,0,Divya Iyer,5,UPPER_MID,GOVT_QUARTERS,17,62,Same zoning block,STABLE_CLUSTER
PLT00064,RZ_RES_HIGH,WARD_49,APARTMENT_BLOCK,395.8,2.45,21.0,0,Kiran Shetty,8,HIGH,OWNED,13,63,Same zoning block,STABLE_CLUSTER
PLT00065,RZ_RES_HIGH,WARD_28,APARTMENT_BLOCK,90.7,1.84,25.0,0,Raghav Shetty,7,HIGH,OWNED,35,64,Same zoning block,STABLE_CLUSTER
PLT00066,RZ_RES_LOW,WARD_40,PARK_OPEN_SPACE,90.0,1.89,23.0,0,Raghav Rao,2,UPPER_MID,GOVT_QUARTERS,33,65,Same zoning block,STABLE_CLUSTER
PLT00067,RZ_RES_HIGH,WARD_12,RESIDENTIAL,176.3,1.83,22.0,0,Meera Iyer,8,UPPER_MID,OWNED,30,66,Same zoning block,STABLE_CLUSTER
PLT00068,RZ_RES_HIGH,WARD_17,RESIDENTIAL,254.0,2.25,16.0,0,Meera Iyer,3,LOW,RENTED,7,67,Same zoning block,STABLE_CLUSTER
PLT00069,RZ_RES_LOW,WARD_16,RESIDENTIAL,390.5,2.12,19.0,0,Priya Sharma,7,LOW,RENTED,12,68,Same zoning block,STABLE_CLUSTER
PLT00070,RZ_RES_HIGH,WARD_45,APARTMENT_BLOCK,363.8,1.67,24.0,0,Ananya Naidu,8,HIGH,OWNED,9,69,Same zoning block,STABLE_CLUSTER
PLT00071,RZ_PARK,WARD_02,APARTMENT_BLOCK,712.2,0.5,9,0,Raghav Shetty,5,HIGH,GOVT_QUARTERS,24,70,Same zoning block,GREEN_BUFFER
PLT00072,RZ_PARK,WARD_41,RESIDENTIAL,167.2,0.5,9,0,Vikram Reddy,8,LOW,RENTED,31,71,Same zoning block,GREEN_BUFFER
PLT00073,RZ_RES_LOW,WARD_23,PARK_OPEN_SPACE,238.5,1.87,23.0,0,Meera Iyer,2,UPPER_MID,OWNED,9,72,Same zoning block,STABLE_CLUSTER
PLT00074,RZ_RES_HIGH,WARD_24,PARK_OPEN_SPACE,409.9,1.96,17.0,0,Ashwin Shetty,7,MID,RENTED,31,73,Same zoning block,STABLE_CLUSTER
PLT00075,RZ_PARK,WARD_50,APARTMENT_BLOCK,584.6,0.5,9,0,Divya Iyer,4,MID,GOVT_QUARTERS,32,74,Same zoning block,GREEN_BUFFER
PLT00076,RZ_RES_LOW,WARD_18,APARTMENT_BLOCK,170.2,1.96,24.0,0,Raghav Shetty,4,LOW,OWNED,33,75,Same zoning block,STABLE_CLUSTER
PLT00077,RZ_RES_HIGH,WARD_12,APARTMENT_BLOCK,158.5,2.3,20.0,0,Divya Iyer,7,MID,RENTED,6,76,Same zoning block,STABLE_CLUSTER
PLT00078,RZ_PARK,WARD_13,RESIDENTIAL,327.6,0.5,9,0,Raghav Shetty,5,HIGH,RENTED,21,77,Same zoning block,GREEN_BUFFER
PLT00079,RZ_PARK,WARD_46,APARTMENT_BLOCK,565.4,0.5,9,0,Raghav Rao,2,MID,GOVT_QUARTERS,18,78,Same zoning block,GREEN_BUFFER
PLT00080,RZ_PARK,WARD_16,APARTMENT_BLOCK,813.6,0.5,9,0,Meera Iyer,5,MID,OWNED,29,79,Same zoning block,GREEN_BUFFER
PLT00081,RZ_PARK,WARD_22,APARTMENT_BLOCK,858.3,0.5,9,0,Vikram Reddy,4,MID,GOVT_QUARTERS,9,80,Same zoning block,GREEN_BUFFER
PLT00082,RZ_PARK,WARD_13,APARTMENT_BLOCK,187.5,0.5,9,0,Kiran Shetty,8,HIGH,GOVT_QUARTERS,12,81,Same zoning block,GREEN_BUFFER
PLT00083,RZ_PARK,WARD_31,APARTMENT_BLOCK,883.3,0.5,9,0,Kiran Shetty,6,MID,GOVT_QUARTERS,32,82,Same zoning block,GREEN_BUFFER
PLT00084,RZ_RES_LOW,WARD_19,RESIDENTIAL,213.5,1.8,26.0,0,Ashwin Shetty,4,LOW,GOVT_QUARTERS,23,83,Same zoning block,STABLE_CLUSTER
PLT00085,RZ_RES_HIGH,WARD_45,RESIDENTIAL,316.0,2.25,17.0,0,Raghav Rao,6,MID,OWNED,21,84,Same zoning block,STABLE_CLUSTER
PLT00086,RZ_RES_HIGH,WARD_22,RESIDENTIAL,437.2,1.75,28.0,0,Ananya Naidu,8,LOW,OWNED,21,85,Same zoning block,STABLE_CLUSTER
PLT00087,RZ_RES_LOW,WARD_37,PARK_OPEN_SPACE,334.0,1.65,27.0,0,Vikram Reddy,2,HIGH,GOVT_QUARTERS,23,86,Same zoning block,STABLE_CLUSTER
PLT00088,RZ_RES_HIGH,WARD_39,PARK_OPEN_SPACE,372.6,1.73,23.0,0,Priya Sharma,5,MID,RENTED,19,87,Same zoning block,STABLE_CLUSTER
PLT00089,RZ_RES_HIGH,WARD_37,PARK_OPEN_SPACE,102.3,2.46,16.0,0,Divya Reddy,7,HIGH,OWNED,27,88,Same zoning block,STABLE_CLUSTER
PLT00090,RZ_RES_LOW,WARD_11,RESIDENTIAL,144.3,1.58,15.0,0,Priya Sharma,7,UPPER_MID,OWNED,7,89,Same zoning block,STABLE_CLUSTER
PLT00091,RZ_RES_LOW,WARD_19,PARK_OPEN_SPACE,184.6,2.36,16.0,0,Divya Reddy,4,HIGH,OWNED,9,90,Same zoning block,STABLE_CLUSTER
PLT00092,RZ_PARK,WARD_15,PARK_OPEN_SPACE,221.3,0.5,9,0,Vikram Reddy,8,HIGH,GOVT_QUARTERS,7,91,Same zoning block,GREEN_BUFFER
PLT00093,RZ_RES_LOW,WARD_20,PARK_OPEN_SPACE,357.1,2.07,19.0,0,Ananya Naidu,5,MID,RENTED,18,92,Same zoning block,STABLE_CLUSTER
PLT00094,RZ_RES_HIGH,WARD_33,PARK_OPEN_SPACE,262.7,1.58,16.0,0,Raghav Shetty,7,MID,RENTED,14,93,Same zoning block,STABLE_CLUSTER
PLT00095,RZ_RES_LOW,WARD_06,RESIDENTIAL,435.9,2.34,24.0,0,Raghav Rao,8,MID,RENTED,7,94,Same zoning block,STABLE_CLUSTER
PLT00096,RZ_RES_LOW,WARD_31,PARK_OPEN_SPACE,321.1,2.42,18.0,0,Divya Iyer,5,UPPER_MID,GOVT_QUARTERS,21,95,Same zoning block,STABLE_CLUSTER
PLT00097,RZ_RES_HIGH,WARD_27,APARTMENT_BLOCK,198.8,1.6,17.0,0,Raghav Shetty,7,UPPER_MID,OWNED,27,96,Same zoning block,STABLE_CLUSTER
PLT00098,RZ_RES_HIGH,WARD_49,PARK_OPEN_SPACE,93.6,1.59,19.0,0,Ananya Naidu,8,UPPER_MID,RENTED,32,97,Same zoning block,STABLE_CLUSTER
PLT00099,RZ_RES_LOW,WARD_43,PARK_OPEN_SPACE,250.9,1.55,23.0,0,Divya Iyer,8,UPPER_MID,RENTED,20,98,Same zoning block,STABLE_CLUSTER
PLT00100,RZ_RES_LOW,WARD_14,APARTMENT_BLOCK,283.2,2.43,22.0,0,Priya Sharma,2,LOW,RENTED,25,99,Same zoning block,STABLE_CLUSTER
PLT00101,RZ_RES_LOW,WARD_46,RESIDENTIAL,195.0,1.51,21.0,0,Divya Reddy,8,LOW,OWNED,9,100,Same zoning block,STABLE_CLUSTER
PLT00102,RZ_PARK,WARD_10,APARTMENT_BLOCK,1122.6,0.5,9,0,Vikram Reddy,6,MID,OWNED,32,101,Same zoning block,GREEN_BUFFER
PLT00103,RZ_RES_HIGH,WARD_31,RESIDENTIAL,249.0,1.64,18.0,0,Divya Iyer,6,HIGH,GOVT_QUARTERS,14,102,Same zoning block,STABLE_CLUSTER
PLT00104,RZ_RES_HIGH,WARD_22,PARK_OPEN_SPACE,178.9,1.5,26.0,0,Divya Iyer,6,UPPER_MID,GOVT_QUARTERS,20,103,Same zoning block,STABLE_CLUSTER
PLT00105,RZ_PARK,WARD_31,APARTMENT_BLOCK,432.3,0.5,9,0,Kiran Shetty,5,UPPER_MID,OWNED,33,104,Same zoning block,GREEN_BUFFER
PLT00106,RZ_RES_LOW,WARD_45,RESIDENTIAL,291.6,1.73,27.0,0,Raghav Rao,4,UPPER_MID,RENTED,35,105,Same zoning block,STABLE_CLUSTER
PLT00107,RZ_RES_HIGH,WARD_25,PARK_OPEN_SPACE,373.2,2.15,17.0,0,Raghav Rao,3,MID,GOVT_QUARTERS,33,106,Same zoning block,STABLE_CLUSTER
PLT00108,RZ_RES_HIGH,WARD_07,PARK_OPEN_SPACE,416.9,1.52,17.0,0,Vikram Sharma,3,LOW,OWNED,31,107,Same zoning block,STABLE_CLUSTER
PLT00109,RZ_RES_HIGH,WARD_22,PARK_OPEN_SPACE,336.3,2.15,28.0,0,Vikram Sharma,8,UPPER_MID,OWNED,26,108,Same zoning block,STABLE_CLUSTER
PLT00110,RZ_PARK,WARD_49,APARTMENT_BLOCK,1053.2,0.5,9,0,Raghav Rao,6,LOW,GOVT_QUARTERS,26,109,Same zoning block,GREEN_BUFFER
PLT00111,RZ_PARK,WARD_19,RESIDENTIAL,908.8,0.5,9,0,Raghav Shetty,2,LOW,OWNED,11,110,Same zoning block,GREEN_BUFFER
PLT00112,RZ_PARK,WARD_20,RESIDENTIAL,102.9,0.5,9,0,Raghav Rao,4,MID,OWNED,19,111,Same zoning block,GREEN_BUFFER
PLT00113,RZ_RES_LOW,WARD_16,PARK_OPEN_SPACE,232.5,2.18,18.0,0,Ashwin Shetty,2,UPPER_MID,RENTED,27,112,Same zoning block,STABLE_CLUSTER
PLT00114,RZ_RES_LOW,WARD_32,PARK_OPEN_SPACE,133.0,1.96,19.0,0,Vikram Reddy,7,LOW,OWNED,34,113,Same zoning block,STABLE_CLUSTER
PLT00115,RZ_RES_HIGH,WARD_44,PARK_OPEN_SPACE,138.5,1.94,20.0,0,Divya Iyer,4,UPPER_MID,RENTED,14,114,Same zoning block,STABLE_CLUSTER
PLT00116,RZ_RES_HIGH,WARD_20,RESIDENTIAL,449.8,2.35,17.0,0,Raghav Shetty,6,MID,RENTED,15,115,Same zoning block,STABLE_CLUSTER
PLT00117,RZ_PARK,WARD_19,RESIDENTIAL,1174.6,0.5,9,0,Vikram Sharma,5,MID,GOVT_QUARTERS,24,116,Same zoning block,GREEN_BUFFER
PLT00118,RZ_PARK,WARD_50,PARK_OPEN_SPACE,1169.6,0.5,9,0,Divya Iyer,7,UPPER_MID,OWNED,30,117,Same zoning block,GREEN_BUFFER
PLT00119,RZ_RES_LOW,WARD_39,APARTMENT_BLOCK,161.0,1.69,19.0,0,Vikram Sharma,7,HIGH,RENTED,9,118,Same zoning block,STABLE_CLUSTER
PLT00120,RZ_PARK,WARD_42,RESIDENTIAL,405.3,0.5,9,0,Priya Sharma,2,MID,RENTED,10,119,Same zoning block,GREEN_BUFFER
PLT00121,RZ_RES_LOW,WARD_19,APARTMENT_BLOCK,356.6,1.68,17.0,0,Kiran Shetty,4,MID,GOVT_QUARTERS,14,120,Same zoning block,STABLE_CLUSTER
PLT00122,RZ_RES_HIGH,WARD_19,PARK_OPEN_SPACE,402.0,2.3,22.0,0,Ananya Naidu,3,HIGH,RENTED,29,121,Same zoning block,STABLE_CLUSTER
PLT00123,RZ_PARK,WARD_26,PARK_OPEN_SPACE,470.6,0.5,9,0,Raghav Shetty,2,MID,RENTED,9,122,Same zoning block,GREEN_BUFFER
PLT00124,RZ_RES_HIGH,WARD_24,PARK_OPEN_SPACE,357.1,1.76,21.0,0,Vikram Sharma,4,LOW,RENTED,13,123,Same zoning block,STABLE_CLUSTER
PLT00125,RZ_RES_HIGH,WARD_02,PARK_OPEN_SPACE,407.2,2.06,29.0,0,Divya Reddy,7,LOW,RENTED,32,124,Same zoning block,STABLE_CLUSTER
PLT00126,RZ_RES_HIGH,WARD_45,APARTMENT_BLOCK,320.2,1.62,16.0,0,Raghav Rao,4,UPPER_MID,GOVT_QUARTERS,9,125,Same zoning block,STABLE_CLUSTER
PLT00127,RZ_RES_LOW,WARD_35,RESIDENTIAL,223.8,1.87,29.0,0,Kiran Shetty,5,HIGH,OWNED,26,126,Same zoning block,STABLE_CLUSTER
PLT00128,RZ_RES_LOW,WARD_32,PARK_OPEN_SPACE,231.0,2.45,15.0,0,Meera Iyer,3,UPPER_MID,OWNED,13,127,Same zoning block,STABLE_CLUSTER
PLT00129,RZ_RES_HIGH,WARD_07,PARK_OPEN_SPACE,215.9,2.4,25.0,0,Raghav Rao,5,MID,GOVT_QUARTERS,9,128,Same zoning block,STABLE_CLUSTER
PLT00130,RZ_RES_HIGH,WARD_06,PARK_OPEN_SPACE,158.5,2.14,30.0,0,Raghav Rao,8,MID,GOVT_QUARTERS,10,129,Same zoning block,STABLE_CLUSTER
PLT00131,RZ_PARK,WARD_14,RESIDENTIAL,1004.3,0.5,9,0,Kiran Shetty,3,HIGH,GOVT_QUARTERS,16,130,Same zoning block,GREEN_BUFFER
PLT00132,RZ_RES_LOW,WARD_39,RESIDENTIAL,182.6,2.48,30.0,0,Kiran Shetty,4,HIGH,GOVT_QUARTERS,27,131,Same zoning block,STABLE_CLUSTER
PLT00133,RZ_RES_LOW,WARD_09,RESIDENTIAL,212.5,2.29,24.0,0,Raghav Rao,3,MID,GOVT_QUARTERS,10,132,Same zoning block,STABLE_CLUSTER
PLT00134,RZ_PARK,WARD_27,PARK_OPEN_SPACE,180.7,0.5,9,0,Ananya Naidu,5,UPPER_MID,OWNED,22,133,Same zoning block,GREEN_BUFFER
PLT00135,RZ_PARK,WARD_07,APARTMENT_BLOCK,629.4,0.5,9,0,Divya Iyer,2,MID,OWNED,26,134,Same zoning block,GREEN_BUFFER
PLT00136,RZ_RES_LOW,WARD_04,APARTMENT_BLOCK,393.5,1.93,17.0,0,Priya Sharma,2,LOW,OWNED,25,135,Same zoning block,STABLE_CLUSTER
PLT00137,RZ_RES_LOW,WARD_05,RESIDENTIAL,181.8,2.13,23.0,0,Meera Iyer,5,MID,OWNED,22,136,Same zoning block,STABLE_CLUSTER
PLT00138,RZ_PARK,WARD_28,RESIDENTIAL,962.1,0.5,9,0,Ananya Naidu,8,HIGH,OWNED,20,137,Same zoning block,GREEN_BUFFER
PLT00139,RZ_RES_LOW,WARD_27,APARTMENT_BLOCK,386.1,1.9,26.0,0,Meera Iyer,5,MID,RENTED,14,138,Same zoning block,STABLE_CLUSTER
PLT00140,RZ_RES_HIGH,WARD_10,PARK_OPEN_SPACE,421.5,1.57,27.0,0,Ananya Naidu,5,LOW,RENTED,29,139,Same zoning block,STABLE_CLUSTER
PLT00141,RZ_RES_HIGH,WARD_09,PARK_OPEN_SPACE,102.2,2.46,23.0,0,Vikram Sharma,2,UPPER_MID,OWNED,33,140,Same zoning block,STABLE_CLUSTER
PLT00142,RZ_PARK,WARD_49,APARTMENT_BLOCK,1048.3,0.5,9,0,Raghav Rao,4,MID,OWNED,9,141,Same zoning block,GREEN_BUFFER
PLT00143,RZ_PARK,WARD_33,RESIDENTIAL,227.9,0.5,9,0,Priya Sharma,3,LOW,OWNED,33,142,Same zoning block,GREEN_BUFFER
PLT00144,RZ_PARK,WARD_24,RESIDENTIAL,927.0,0.5,9,0,Divya Iyer,3,UPPER_MID,RENTED,30,143,Same zoning block,GREEN_BUFFER
PLT00145,RZ_PARK,WARD_40,PARK_OPEN_SPACE,789.1,0.5,9,0,Raghav Rao,6,MID,GOVT_QUARTERS,11,144,Same zoning block,GREEN_BUFFER
PLT00146,RZ_RES_HIGH,WARD_45,APARTMENT_BLOCK,421.0,1.85,18.0,0,Ashwin Shetty,6,UPPER_MID,GOVT_QUARTERS,10,145,Same zoning block,STABLE_CLUSTER
PLT00147,RZ_PARK,WARD_41,RESIDENTIAL,155.5,0.5,9,0,Kiran Shetty,3,UPPER_MID,OWNED,20,146,Same zoning block,GREEN_BUFFER
