| plot_id   | zone_code     | ward_code   | current_use      |   plot_area_sqm |   max_far |   max_height_m |   zoning_block_id | owner_name      |   household_size | income_band   | occupancy_type   |   tenure_years |   zoning_block_final | status_vs_0             | status          |
| PLT00020  | RZ_PARK       | WARD_13     | PARK_OPEN_SPACE  |           832.4 |      0.5  |              9 |                 0 | Sneha Naidu     |                4 | LOW           | OWNED            |              7 |                    0 | Same zoning block       | GREEN_BUFFER    |
| PLT00021  | RZ_RES_HIGH   | WARD_03     | APARTMENT_BLOCK  |            86.7 |      2.33 |             28 |                 0 | Kiran Kulkarni  |                1 | LOW           | OWNED            |              2 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00022  | RZ_RES_LOW    | WARD_29     | RESIDENTIAL      |           355.1 |      1.61 |             17 |                 0 | Vikram Murthy   |                2 | MID           | GOVT_QUARTERS    |             29 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00023  | RZ_COMM_MAIN  | WARD_29     | COMMERCIAL_MIXED |           371.2 |      2.49 |             30 |                 0 | Ashwin Iyer     |                1 | LOW           | GOVT_QUARTERS    |             13 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00024  | RZ_COMM_NEIGH | WARD_12     | COMMERCIAL_SHOPS |           282   |      3.73 |             16 |                 0 | Meera Kulkarni  |                4 | UPPER_MID     | OWNED            |              7 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00025  | RZ_RES_MED    | WARD_07     | RESIDENTIAL      |           251.6 |      1.71 |             15 |                 0 | Vikram Murthy   |                2 | LOW           | RENTED           |             25 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00026  | RZ_COMM_MAIN  | WARD_28     | COMMERCIAL_MIXED |           112.9 |      3.3  |             32 |                 0 | Ananya Rao      |                7 | MID           | OWNED            |             13 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00027  | RZ_COMM_NEIGH | WARD_16     | COMMERCIAL_SHOPS |           175.4 |      2.8  |             16 |                 0 | Raghav Patil    |                1 | HIGH          | RENTED           |             29 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00028  | RZ_COMM_NEIGH | WARD_26     | COMMERCIAL_SHOPS |           214   |      3.39 |             38 |                 0 | Rahul Murthy    |                2 | MID           | RENTED           |              6 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00029  | RZ_COMM_MAIN  | WARD_02     | COMMERCIAL_MIXED |           457.3 |      2.12 |             25 |                 0 | Ananya Kulkarni |                5 | HIGH          | GOVT_QUARTERS    |             29 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00030  | RZ_COMM_MAIN  | WARD_28     | COMMERCIAL_MIXED |           145   |      3.92 |             17 |                 0 | Raghav Rao      |                5 | LOW           | GOVT_QUARTERS    |             27 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00031  | RZ_COMM_NEIGH | WARD_08     | COMMERCIAL_SHOPS |           124.7 |      3.78 |             22 |                 0 | Priya Reddy     |                1 | LOW           | RENTED           |             21 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00032  | RZ_COMM_MAIN  | WARD_19     | COMMERCIAL_MIXED |           342.3 |      3.87 |             21 |                 0 | Divya Iyer      |                3 | HIGH          | OWNED            |             21 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00033  | RZ_RES_HIGH   | WARD_21     | APARTMENT_BLOCK  |           226.3 |      2.89 |             12 |                 0 | Ananya Murthy   |                5 | LOW           | OWNED            |             17 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00034  | RZ_COMM_MAIN  | WARD_07     | COMMERCIAL_MIXED |           203.2 |      3.87 |             17 |                 0 | Kiran Shetty    |                3 | MID           | RENTED           |             26 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00035  | RZ_PARK       | WARD_18     | PARK_OPEN_SPACE  |           467.6 |      0.5  |              9 |                 0 | Rahul Kulkarni  |                6 | UPPER_MID     | GOVT_QUARTERS    |              3 |                    0 | Same zoning block       | GREEN_BUFFER    |
| PLT00036  | RZ_RES_MED    | WARD_29     | RESIDENTIAL      |           164.6 |      2.83 |             27 |                 0 | Raghav Gowda    |                3 | MID           | GOVT_QUARTERS    |             10 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00037  | RZ_PARK       | WARD_07     | PARK_OPEN_SPACE  |           815.9 |      0.5  |              9 |                 0 | Vikram Naidu    |                4 | UPPER_MID     | OWNED            |              2 |                    0 | Same zoning block       | GREEN_BUFFER    |
| PLT00038  | RZ_COMM_NEIGH | WARD_21     | COMMERCIAL_SHOPS |           507.8 |      2.09 |             25 |                 0 | Raghav Gowda    |                2 | HIGH          | GOVT_QUARTERS    |             22 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00039  | RZ_COMM_MAIN  | WARD_14     | COMMERCIAL_MIXED |            65.2 |      2.15 |             37 |                 0 | Raghav Naidu    |                1 | UPPER_MID     | GOVT_QUARTERS    |             17 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00040  | RZ_COMM_NEIGH | WARD_05     | COMMERCIAL_SHOPS |           128.8 |      2.62 |             40 |                 0 | Ananya Shetty   |                2 | MID           | GOVT_QUARTERS    |              3 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00041  | RZ_COMM_MAIN  | WARD_12     | COMMERCIAL_MIXED |           537.4 |      2.81 |             34 |                 0 | Raghav Iyer     |                7 | MID           | OWNED            |             28 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00042  | RZ_RES_LOW    | WARD_14     | RESIDENTIAL      |           137.4 |      2.89 |             23 |                 0 | Kiran Gowda     |                2 | LOW           | RENTED           |             27 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00043  | RZ_COMM_NEIGH | WARD_02     | COMMERCIAL_SHOPS |           180.1 |      3.63 |             29 |                 0 | Divya Gowda     |                7 | MID           | OWNED            |              0 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00044  | RZ_RES_MED    | WARD_22     | RESIDENTIAL      |           207.5 |      1.92 |             12 |                 0 | Vikram Shetty   |                6 | HIGH          | GOVT_QUARTERS    |             26 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00045  | RZ_RES_HIGH   | WARD_18     | APARTMENT_BLOCK  |           380.6 |      1.67 |             18 |                 0 | Raghav Reddy    |                3 | LOW           | OWNED            |             19 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00046  | RZ_RES_HIGH   | WARD_14     | APARTMENT_BLOCK  |           313.1 |      1.97 |             29 |                 0 | Rahul Rao       |                4 | MID           | RENTED           |              1 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00047  | RZ_COMM_NEIGH | WARD_23     | COMMERCIAL_SHOPS |            60.9 |      3.85 |             32 |                 0 | Kiran Shetty    |                4 | LOW           | GOVT_QUARTERS    |             29 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00048  | RZ_COMM_MAIN  | WARD_11     | COMMERCIAL_MIXED |           229.5 |      3.7  |             38 |                 0 | Vikram Naidu    |                3 | HIGH          | RENTED           |             12 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00049  | RZ_RES_HIGH   | WARD_23     | APARTMENT_BLOCK  |           257.4 |      1.79 |             22 |                 0 | Raghav Reddy    |                5 | UPPER_MID     | RENTED           |             17 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00050  | RZ_RES_LOW    | WARD_27     | RESIDENTIAL      |           177.2 |      1.82 |             28 |                 0 | Priya Shetty    |                4 | HIGH          | RENTED           |             21 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00051  | RZ_COMM_MAIN  | WARD_07     | COMMERCIAL_MIXED |           315.5 |      3.8  |             40 |                 1 | Raghav Rao      |                3 | UPPER_MID     | OWNED            |             26 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00052  | RZ_RES_MED    | WARD_25     | RESIDENTIAL      |           295.3 |      1.84 |             16 |                 1 | Raghav Kulkarni |                1 | MID           | RENTED           |             19 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00053  | RZ_RES_LOW    | WARD_28     | RESIDENTIAL      |           225.7 |      2.83 |             28 |                 1 | Kiran Patil     |                4 | HIGH          | OWNED            |              4 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00054  | RZ_PARK       | WARD_21     | PARK_OPEN_SPACE  |           155.8 |      0.5  |              9 |                 1 | Meera Patil     |                2 | MID           | GOVT_QUARTERS    |             16 |                    1 | Different zoning blocks | GREEN_BUFFER    |
| PLT00055  | RZ_RES_LOW    | WARD_15     | RESIDENTIAL      |           258.4 |      2.88 |             13 |                 1 | Sneha Sharma    |                7 | HIGH          | GOVT_QUARTERS    |             16 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00056  | RZ_COMM_MAIN  | WARD_18     | COMMERCIAL_MIXED |           231.3 |      3.51 |             29 |                 1 | Priya Naidu     |                4 | HIGH          | OWNED            |             23 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00057  | RZ_COMM_NEIGH | WARD_28     | COMMERCIAL_SHOPS |           303   |      3.5  |             35 |                 1 | Vikram Naidu    |                4 | MID           | RENTED           |             14 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00058  | RZ_PARK       | WARD_03     | PARK_OPEN_SPACE  |           450   |      0.5  |              9 |                 1 | Vikram Shetty   |                3 | LOW           | OWNED            |              4 |                    1 | Different zoning blocks | GREEN_BUFFER    |
| PLT00059  | RZ_COMM_NEIGH | WARD_08     | COMMERCIAL_SHOPS |           434.7 |      3.41 |             17 |                 1 | Ashwin Patil    |                3 | HIGH          | RENTED           |              1 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00060  | RZ_COMM_NEIGH | WARD_07     | COMMERCIAL_SHOPS |           270.3 |      3.54 |             37 |                 1 | Ananya Reddy    |                4 | HIGH          | OWNED            |             30 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00061  | RZ_RES_HIGH   | WARD_12     | APARTMENT_BLOCK  |           321.1 |      2.78 |             23 |                 1 | Rahul Naidu     |                7 | MID           | RENTED           |              7 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00062  | RZ_COMM_NEIGH | WARD_09     | COMMERCIAL_SHOPS |           322.2 |      2.78 |             36 |                 1 | Ashwin Sharma   |                7 | HIGH          | OWNED            |             19 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00063  | RZ_RES_LOW    | WARD_18     | RESIDENTIAL      |           370.2 |      2.39 |             10 |                 1 | Meera Patil     |                2 | HIGH          | OWNED            |              1 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00064  | RZ_COMM_NEIGH | WARD_09     | COMMERCIAL_SHOPS |           236.8 |      2.91 |             25 |                 1 | Ashwin Gowda    |                7 | HIGH          | RENTED           |             26 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00065  | RZ_COMM_NEIGH | WARD_03     | COMMERCIAL_SHOPS |            70.5 |      3.08 |             26 |                 1 | Kiran Rao       |                7 | LOW           | OWNED            |             30 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00066  | RZ_RES_MED    | WARD_08     | RESIDENTIAL      |           348.6 |      2.43 |             17 |                 1 | Raghav Murthy   |                6 | LOW           | GOVT_QUARTERS    |             30 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00067  | RZ_COMM_NEIGH | WARD_07     | COMMERCIAL_SHOPS |           437.7 |      3.53 |             20 |                 1 | Priya Reddy     |                6 | LOW           | OWNED            |             30 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00068  | RZ_RES_LOW    | WARD_10     | RESIDENTIAL      |           265.2 |      2.89 |             28 |                 1 | Ashwin Patil    |                6 | MID           | OWNED            |             18 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00069  | RZ_PARK       | WARD_23     | PARK_OPEN_SPACE  |           405   |      0.5  |              9 |                 1 | Vikram Reddy    |                7 | LOW           | GOVT_QUARTERS    |             25 |                    1 | Different zoning blocks | GREEN_BUFFER    |
| PLT00070  | RZ_RES_HIGH   | WARD_02     | APARTMENT_BLOCK  |           250.5 |      2.49 |             12 |                 1 | Rahul Shetty    |                1 | HIGH          | RENTED           |              3 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00071  | RZ_RES_HIGH   | WARD_14     | APARTMENT_BLOCK  |           283.4 |      2.74 |             14 |                 1 | Ashwin Sharma   |                6 | UPPER_MID     | GOVT_QUARTERS    |             25 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00072  | RZ_COMM_MAIN  | WARD_30     | COMMERCIAL_MIXED |           478.3 |      2.93 |             38 |                 1 | Priya Gowda     |                3 | MID           | OWNED            |              8 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00073  | RZ_COMM_NEIGH | WARD_29     | COMMERCIAL_SHOPS |           191.7 |      2.93 |             34 |                 1 | Ashwin Shetty   |                1 | HIGH          | RENTED           |              5 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00074  | RZ_RES_MED    | WARD_16     | RESIDENTIAL      |           193.5 |      1.89 |             18 |                 1 | Priya Gowda     |                5 | LOW           | GOVT_QUARTERS    |             30 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00075  | RZ_RES_LOW    | WARD_07     | RESIDENTIAL      |           157.2 |      2.11 |             27 |                 1 | Kiran Murthy    |                6 | HIGH          | RENTED           |             25 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00076  | RZ_RES_LOW    | WARD_01     | RESIDENTIAL      |           174.2 |      2.11 |             17 |                 1 | Vikram Reddy    |                3 | HIGH          | GOVT_QUARTERS    |             16 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00077  | RZ_COMM_NEIGH | WARD_12     | COMMERCIAL_SHOPS |           598.2 |      3.1  |             26 |                 1 | Sneha Gowda     |                3 | UPPER_MID     | OWNED            |              3 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00078  | RZ_RES_MED    | WARD_24     | RESIDENTIAL      |           181   |      2.61 |             15 |                 1 | Kiran Iyer      |                6 | HIGH          | RENTED           |             23 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00079  | RZ_COMM_MAIN  | WARD_19     | COMMERCIAL_MIXED |           382.3 |      3.96 |             21 |                 1 | Vikram Iyer     |                3 | MID           | RENTED           |              0 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00080  | RZ_COMM_MAIN  | WARD_23     | COMMERCIAL_MIXED |           128.4 |      2.09 |             16 |                 1 | Rahul Gowda     |                6 | MID           | GOVT_QUARTERS    |             27 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00081  | RZ_COMM_NEIGH | WARD_25     | COMMERCIAL_SHOPS |           115.4 |      2.02 |             24 |                 1 | Sneha Murthy    |                4 | UPPER_MID     | OWNED            |             30 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00082  | RZ_RES_HIGH   | WARD_02     | APARTMENT_BLOCK  |           381.1 |      2.22 |             12 |                 1 | Ashwin Murthy   |                1 | LOW           | OWNED            |              4 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00083  | RZ_COMM_MAIN  | WARD_26     | COMMERCIAL_MIXED |           572.5 |      2.17 |             22 |                 1 | Meera Naidu     |                7 | HIGH          | GOVT_QUARTERS    |             19 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00084  | RZ_COMM_MAIN  | WARD_26     | COMMERCIAL_MIXED |           181.9 |      3.05 |             29 |                 1 | Sneha Gowda     |                7 | HIGH          | RENTED           |             18 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00085  | RZ_RES_LOW    | WARD_20     | RESIDENTIAL      |           275.1 |      2.61 |             16 |                 1 | Kiran Gowda     |                6 | LOW           | OWNED            |              7 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00086  | RZ_COMM_MAIN  | WARD_06     | COMMERCIAL_MIXED |           100.5 |      2.01 |             29 |                 1 | Priya Murthy    |                3 | LOW           | OWNED            |              9 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00087  | RZ_RES_HIGH   | WARD_23     | APARTMENT_BLOCK  |           305   |      2.18 |             17 |                 1 | Vikram Reddy    |                6 | MID           | RENTED           |              3 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00088  | RZ_RES_MED    | WARD_18     | RESIDENTIAL      |           287.2 |      2.86 |             14 |                 1 | Meera Kulkarni  |                2 | UPPER_MID     | GOVT_QUARTERS    |             23 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00089  | RZ_COMM_MAIN  | WARD_27     | COMMERCIAL_MIXED |           557.4 |      2.88 |             29 |                 1 | Vikram Patil    |                3 | HIGH          | RENTED           |              2 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00090  | RZ_RES_LOW    | WARD_20     | RESIDENTIAL      |           364.6 |      2.6  |             29 |                 1 | Vikram Kulkarni |                1 | MID           | GOVT_QUARTERS    |             26 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00091  | RZ_COMM_MAIN  | WARD_28     | COMMERCIAL_MIXED |           377   |      2.04 |             39 |                 1 | Vikram Reddy    |                1 | MID           | RENTED           |             16 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00092  | RZ_COMM_NEIGH | WARD_21     | COMMERCIAL_SHOPS |           554.7 |      2.36 |             33 |                 1 | Ashwin Murthy   |                1 | HIGH          | RENTED           |             13 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00093  | RZ_RES_HIGH   | WARD_11     | APARTMENT_BLOCK  |           294.4 |      2.79 |             20 |                 1 | Ashwin Murthy   |                3 | HIGH          | GOVT_QUARTERS    |              1 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00094  | RZ_RES_LOW    | WARD_15     | RESIDENTIAL      |           180.6 |      1.98 |             22 |                 1 | Rahul Kulkarni  |                6 | HIGH          | RENTED           |              1 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00095  | RZ_COMM_MAIN  | WARD_07     | COMMERCIAL_MIXED |           255.4 |      3.51 |             35 |                 1 | Sneha Kulkarni  |                2 | UPPER_MID     | GOVT_QUARTERS    |              4 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00096  | RZ_RES_HIGH   | WARD_30     | APARTMENT_BLOCK  |           220.2 |      2.55 |             13 |                 1 | Ananya Reddy    |                7 | MID           | GOVT_QUARTERS    |              5 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00097  | RZ_COMM_MAIN  | WARD_10     | COMMERCIAL_MIXED |            67.4 |      2.82 |             22 |                 1 | Meera Murthy    |                1 | MID           | RENTED           |             29 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00098  | RZ_RES_HIGH   | WARD_23     | APARTMENT_BLOCK  |           242.8 |      1.91 |             25 |                 1 | Sneha Iyer      |                4 | MID           | RENTED           |              6 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00099  | RZ_COMM_MAIN  | WARD_30     | COMMERCIAL_MIXED |           334.5 |      3.76 |             17 |                 1 | Vikram Patil    |                3 | UPPER_MID     | OWNED            |              9 |                    1 | Different zoning blocks | LOW_ACTIVITY    |
| PLT00100  | RZ_RES_HIGH   | WARD_24     | APARTMENT_BLOCK  |           348   |      2.37 |             25 |                 1 | Raghav Murthy   |                5 | HIGH          | RENTED           |             10 |                    1 | Different zoning blocks | GROWTH_CORRIDOR |
| PLT00101  | RZ_COMM_MAIN  | WARD_18     | COMMERCIAL_MIXED |           263.7 |      3.87 |             21 |                 2 | Kiran Reddy     |                4 | MID           | RENTED           |              1 |                    2 | Different zoning blocks | HIGH_ACTIVITY   |
| PLT00102  | RZ_PARK       | WARD_11     | PARK_OPEN_SPACE  |           646.6 |      0.5  |              9 |                 2 | Ashwin Patil    |                6 | MID           | RENTED           |             30 |                    2 | Different zoning blocks | GREEN_BUFFER    |
| PLT00103  | RZ_RES_MED    | WARD_02     | RESIDENTIAL      |           240.7 |      2.39 |             13 |                 2 | Sneha Rao       |                5 | HIGH          | OWNED            |             23 |                    2 | Different zoning blocks | UNDER_REVIEW    |
| PLT00104  | RZ_COMM_NEIGH | WARD_05     | COMMERCIAL_SHOPS |           530.3 |      3.94 |             17 |                 2 | Sneha Gowda     |                3 | HIGH          | GOVT_QUARTERS    |              2 |                    2 | Different zoning blocks | HIGH_ACTIVITY   |
| PLT00105  | RZ_RES_HIGH   | WARD_28     | APARTMENT_BLOCK  |           352.7 |      2.79 |             22 |                 2 | Divya Murthy    |                7 | LOW           | GOVT_QUARTERS    |              2 |                    2 | Different zoning blocks | UNDER_REVIEW    |
| PLT00106  | RZ_PARK       | WARD_08     | PARK_OPEN_SPACE  |           868.6 |      0.5  |              9 |                 2 | Vikram Iyer     |                6 | LOW           | RENTED           |              3 |                    2 | Different zoning blocks | GREEN_BUFFER    |
| PLT00107  | RZ_PARK       | WARD_25     | PARK_OPEN_SPACE  |           889.1 |      0.5  |              9 |                 2 | Meera Murthy    |                2 | UPPER_MID     | OWNED            |              1 |                    2 | Different zoning blocks | GREEN_BUFFER    |
| PLT00108  | RZ_RES_LOW    | WARD_11     | RESIDENTIAL      |           173.9 |      2.06 |             14 |                 2 | Kiran Naidu     |                4 | MID           | OWNED            |              5 |                    2 | Different zoning blocks | UNDER_REVIEW    |
| PLT00109  | RZ_COMM_MAIN  | WARD_03     | COMMERCIAL_MIXED |           530.3 |      3.24 |             22 |                 2 | Sneha Reddy     |                2 | MID           | RENTED           |             20 |                    2 | Different zoning blocks | HIGH_ACTIVITY   |
| PLT00110  | RZ_COMM_NEIGH | WARD_09     | COMMERCIAL_SHOPS |           197.9 |      2.02 |             40 |                 2 | Sneha Gowda     |                6 | MID           | OWNED            |             14 |                    2 | Different zoning blocks | HIGH_ACTIVITY   |
| PLT00111  | RZ_COMM_MAIN  | WARD_12     | COMMERCIAL_MIXED |           221.5 |      3.92 |             37 |                 2 | Vikram Murthy   |                7 | UPPER_MID     | OWNED            |             12 |                    2 | Different zoning blocks | HIGH_ACTIVITY   |
| PLT00112  | RZ_COMM_NEIGH | WARD_28     | COMMERCIAL_SHOPS |           117.6 |      2.76 |             26 |                 2 | Priya Gowda     |                6 | UPPER_MID     | OWNED            |             26 |                    2 | Different zoning blocks | HIGH_ACTIVITY   |
